jar_path,metadata,mod_id,version,name,has_assets_academy,has_data_academy,has_safari_ticket_base
.fabric/processedMods/org_jetbrains_kotlin_kotlin-stdlib-2.2.10-2020a97885177cae.jar,fabric.mod.json,org_jetbrains_kotlin_kotlin-stdlib,2.2.10,kotlin-stdlib,False,False,False
.fabric/processedMods/org_jetbrains_kotlin_kotlin-stdljdk7-2.2.10-70410eddd55fc48d.jar,fabric.mod.json,org_jetbrains_kotlin_kotlin-stdlib-jdk7,2.2.10,kotlin-stdlib-jdk7,False,False,False
.fabric/processedMods/org_jetbrains_kotlin_kotlin-stdljdk8-2.2.10-f947bd38d09e14b1.jar,fabric.mod.json,org_jetbrains_kotlin_kotlin-stdlib-jdk8,2.2.10,kotlin-stdlib-jdk8,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_atomicfu-jvm-0.29.0-f3bd32b57d6b29e3.jar,fabric.mod.json,org_jetbrains_kotlinx_atomicfu-jvm,0.29.0,atomicfu-jvm,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-co-jvm-1.10.2-dc3d13b93361afd1.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-coroutines-core-jvm,1.10.2,kotlinx-coroutines-core-jvm,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-cojdk8-1.10.2-8ee2d40032486432.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-coroutines-jdk8,1.10.2,kotlinx-coroutines-jdk8,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-dae-jvm-0.7.1-5cc8fbc762d530db.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-datetime-jvm,0.7.1,kotlinx-datetime-jvm,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-ioe-jvm-0.8.0-1647ad0953ce087f.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-io-core-jvm,0.8.0,kotlinx-io-core-jvm,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-iog-jvm-0.8.0-d5dbd951f2c46e72.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-io-bytestring-jvm,0.8.0,kotlinx-io-bytestring-jvm,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-sen-jvm-1.9.0-41cf7a50c907f3b0.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-serialization-json-jvm,1.9.0,kotlinx-serialization-json-jvm,False,False,False
.fabric/processedMods/org_jetbrains_kotlinx_kotlinx-ser-jvm-1.9.0-460f7a7442afa196.jar,fabric.mod.json,org_jetbrains_kotlinx_kotlinx-serialization-cbor-jvm,1.9.0,kotlinx-serialization-cbor-jvm,False,False,False
